route,change_percent
BOO-SVG,127.0
OSL-BNN,57.1764705882353
EVE-BGO,5.32509505703422
BGO-EVE,5.017821782178218
OSL-LKL,3.1320474777448073
ALF-OSL,2.9196652719665273
TOS-OSL,2.835240839851791
BOO-OSL,2.827410714285714
EVE-OSL,2.766365352140658
LKL-OSL,2.733880422039859
LKN-BOO,2.719590268886044
SVJ-BOO,2.7193113772455093
OSL-RRS,2.707865168539326
SKN-BOO,2.690944881889764
OSL-EVE,2.678841424537754
OSL-BOO,2.6439285445089316
KKN-OSL,2.639129359386594
OSL-TOS,2.628358851380434
HFT-HVG,2.615384615384615
BDU-OSL,2.5969373803664206
BNN-BOO,2.5880281690140845
KKN-VDS,2.575091575091575
BOO-LKN,2.5152008686210645
HAA-TOS,2.460093896713615
OSL-KKN,2.455359246171967
SDN-OSL,2.44794952681388
LYR-OSL,2.4271323035594357
OSL-BDU,2.414001048767698
OSL-ALF,2.3913789814991415
KSU-OSL,2.385737439222042
SSJ-BOO,2.3789808917197455
TOS-VAW,2.377049180327869
BOO-BGO,2.375254582484725
OSL-SDN,2.368279569892473
KKN-TOS,2.3516483516483513
BOO-SKN,2.313546423135464
SSJ-TRD,2.2607407407407405
LKN-TOS,2.2477341389728096
BGO-BOO,2.2314524555903863
OSL-KRS,2.213322759714512
TOS-TRD,2.2043137254901963
OSL-SVG,2.180785548104557
KRS-OSL,2.165785813630042
BOO-TRD,2.1475474683544302
BOO-SSJ,2.1421446384039897
SOJ-TOS,2.1293103448275863
BOO-SVJ,2.1233453670276776
OSL-TRD,2.108916205915508
OSL-LYR,2.105564024390244
MOL-OSL,2.1001124859392575
MEH-TOS,2.078125
TRD-TOS,2.0711297071129704
OSL-BGO,2.066678303368825
HAU-OSL,2.061181434599156
TOS-HAA,2.060702875399361
AES-OSL,2.051662495530926
TOS-ANX,2.0509915014164304
OSL-KSU,2.0388219544846047
VDS-TOS,2.037897310513447
BOO-BNN,2.035190615835777
ANX-TOS,2.029673590504451
SVG-OSL,2.0168479093276153
BVG-KKN,2.0
ALF-BJF,1.9807692307692306
TRD-SSJ,1.9661654135338344
TRF-BGO,1.9638709677419357
BGO-KRS,1.9632469592808037
OSL-AES,1.9622843182165213
TRD-OSL,1.954970647055029
HOV-BGO,1.9544072948328268
HOV-OSL,1.9511323003575685
TOS-VDS,1.9410852713178297
KKN-VAW,1.9337748344370862
MQN-BOO,1.9312500000000001
KRS-BGO,1.9271623672230653
TOS-SOJ,1.9227799227799227
OSL-HAU,1.920949527540908
SVG-BNN,1.9142857142857144
BGO-TRF,1.9094457455113194
BOO-VRY,1.8842592592592593
OSL-HOV,1.8700189753320684
TOS-MEH,1.855421686746988
OSL-MOL,1.8551372048500316
BGO-OSL,1.8519256308100929
TRD-BOO,1.8489863467107985
KKN-BVG,1.837837837837838
FRO-OSL,1.8198924731182795
MJF-BOO,1.8151260504201678
BGO-HOV,1.8058510638297873
OSL-SOG,1.789795918367347
RVK-TRD,1.7862903225806448
MJF-TRD,1.7625201938610662
TRD-OSY,1.75
TOS-BVG,1.75
TOS-EVE,1.747252747252747
MOL-BGO,1.7415329768270944
SOG-HOV,1.7301587301587302
FDE-OSL,1.7254901960784315
LYR-TOS,1.7060755336617406
ANX-BOO,1.6926229508196722
BGO-TOS,1.680278019113814
BGO-MOL,1.6764940239043826
TOS-BGO,1.6758468741393555
TRD-BGO,1.6704813805631247
MQN-TRD,1.6697127937336813
SOG-OSL,1.6666666666666665
HFT-TOS,1.6468579234972678
BGO-TRD,1.6384190252888962
LKL-TOS,1.6347087378640777
OSL-FDE,1.6301218161683277
BJF-TOS,1.6111111111111112
EVE-TOS,1.6024464831804281
BOO-MJF,1.5925925925925928
OSY-TRD,1.5811209439528024
TOS-LKN,1.5668789808917198
TRD-RVK,1.5593705293276108
KSU-BGO,1.558848433530906
TRD-SVG,1.5585585585585586
SVG-TRD,1.5566919929865575
TOS-KKN,1.5550284629981026
HVG-TOS,1.555
VDS-KKN,1.5515463917525774
BOO-TOS,1.5513355592654425
BGO-KSU,1.5295621604346437
TRD-MJF,1.5278219395866453
KKN-BJF,1.5271966527196654
OSL-OLA,1.5226586102719033
BOO-MQN,1.5225352112676056
TOS-LKL,1.521113243761996
BGO-SOG,1.4660493827160495
TOS-BOO,1.4654761904761906
OSL-FRO,1.4571428571428573
RET-BOO,1.4523809523809523
TRD-MQN,1.4179292929292928
SOG-SDN,1.4081632653061225
BJF-KKN,1.4044943820224718
ALF-TOS,1.3977485928705442
TOS-HFT,1.3868940754039496
TOS-LYR,1.365491651205937
TOS-ALF,1.3617021276595744
TOS-HVG,1.3463414634146342
SVG-BGO,1.3451359960793923
SOG-BGO,1.3384146341463414
SVG-TRF,1.3055975794251136
BGO-SVG,1.3033542204201989
BGO-FRO,1.274907749077491
VAW-KKN,1.2402597402597402
FRO-BGO,1.2383062530773017
BOO-RET,1.2335329341317367
HOV-SOG,1.2276422764227644
BGO-AES,1.2080000000000002
AES-BGO,1.0534161490683231
BOO-ANX,1.0320197044334976
KKN-ALF,0.9870129870129869
ALF-VDS,0.9813664596273292
TRD-BNN,0.956369982547993
BNN-TRD,0.9034416826003825
OSL-SRP,0.2646048109965636
TRD-KRS,0.020161290322580645
KRS-TRD,0.019393939393939394
