route,total_people_summer,change_percent,change_people_flat,score,score_normalized
OSL-KEF,1693,18.6,1602,33092,100.0
OSL-PMI,647,43.13,632,28537,86.5
OSL-CPH,5257,3.78,3868,23739,72.27
OSL-HEL,2229,5.02,1785,12975,40.36
OSL-AGP,2782,3.6,2010,12025,37.54
OSL-BLL,2542,3.92,1894,11859,37.05
OSL-CHQ,1777,5.77,1469,11722,36.64
OSL-ALC,2688,2.81,1732,9285,29.42
OSL-PRG,1415,5.68,1166,9203,29.18
OSL-PRN,881,6.12,737,6129,20.06
OSL-AYT,1974,2.32,1124,5704,18.8
OSL-NCE,956,3.87,709,4409,14.96
OSL-VNO,1821,1.81,814,4110,14.08
OSL-PLQ,1677,1.94,814,4067,13.95
OSL-GDN,1424,2.23,785,3961,13.63
OSL-SXF,2460,1.26,508,3608,12.59
OSL-TLL,1712,1.52,583,3185,11.33
OSL-HAM,1345,1.87,624,3139,11.2
OSL-CDG,1092,2.12,576,2891,10.46
OSL-AMS,1129,1.93,543,2722,9.96
OSL-RIX,1687,1.11,168,2041,7.94
OSL-KRK,1654,1.11,167,2003,7.83
OSL-LGW,2072,0.98,-34,1997,7.81
OSL-ARN,1116,1.47,356,1997,7.81
OSL-LPA,639,2.32,364,1846,7.36
OSL-MUC,1053,1.35,271,1693,6.91
BGO-ALC,501,2.54,304,1577,6.57
ALC-OSL,182,7.0,156,1430,6.13
OSL-BUD,1038,0.89,-130,794,4.25
CPH-OSL,210,3.0,140,770,4.17
OSL-BEG,525,1.2,86,716,4.01
OSL-SPU,425,1.33,106,671,3.88
ARN-OSL,219,0.89,-28,167,2.39
OSL-EDI,88,0.12,-649,-638,0.0
